business_name,industry,description,address,phone,email,services,website,city,state,zip_code
"Joe's Pizza Palace",restaurant,"Family-owned Italian restaurant serving authentic New York-style pizza and homemade pasta since 1995. Known for our brick oven and secret sauce recipe passed down three generations.","123 Main St",555-867-5309,info@joespizza.com,"Pizza, Pasta, Catering, Delivery, Dine-In, Private Events",https://joespizza-example.com,Brooklyn,NY,11201
"TechFlow Solutions",tech,"Modern software development agency specializing in web applications, mobile apps, and cloud infrastructure. We help startups and enterprises build scalable digital products.","456 Innovation Dr Suite 200",555-234-5678,hello@techflow.com,"Web Development, Mobile Apps, Cloud Solutions, UI/UX Design, DevOps, API Integration",https://techflow-example.com,Austin,TX,78701
"Harmony Yoga Studio",yoga,"Peaceful yoga studio offering classes for all levels in a welcoming, judgment-free environment. Our certified instructors guide you through mindful movement and breathwork.","789 Zen Lane",555-345-6789,namaste@harmonyyoga.com,"Vinyasa, Hatha, Hot Yoga, Meditation, Private Sessions, Teacher Training, Corporate Yoga",,Portland,OR,97201
"Luxe Hair Salon",salon,"Premium hair salon offering cutting-edge styles, precision cuts, and luxury treatments in a chic downtown setting. Our stylists train in New York and Paris annually.","321 Style Ave",555-456-7890,book@luxehair.com,"Haircuts, Coloring, Balayage, Highlights, Keratin Treatments, Extensions, Bridal Styling",https://luxehair-example.com,Miami,FL,33130
"Shield Legal Group",legal,"Experienced attorneys providing personalized legal services for businesses and individuals. We fight for your rights with integrity and a track record of success.","555 Justice Blvd Floor 12",555-567-8901,consult@shieldlegal.com,"Business Law, Real Estate Law, Estate Planning, Litigation, Contract Review, Mergers & Acquisitions",,Chicago,IL,60601
"Bright Smiles Dental",dental,"Friendly family dental practice using the latest technology for comfortable, pain-free care. We accept most insurance plans and offer flexible payment options.","2100 Healthcare Pkwy Suite 5",555-678-9012,appointments@brightsmiles.com,"General Dentistry, Cosmetic Dentistry, Teeth Whitening, Invisalign, Dental Implants, Pediatric Dentistry",https://brightsmiles-example.com,Denver,CO,80202
"Peak Performance Fitness",fitness,"High-energy gym and training center with state-of-the-art equipment, group classes, and personal training programs designed to help you reach your goals.","900 Muscle Blvd",555-789-0123,join@peakfitness.com,"Personal Training, Group Classes, HIIT, CrossFit, Spin, Nutrition Coaching, Recovery Zone",,San Diego,CA,92101
"Greenscape Landscaping",landscaping,"Full-service landscaping company transforming outdoor spaces into stunning, sustainable landscapes. From design to maintenance, we bring your vision to life.","45 Garden Way",555-890-1234,design@greenscape.com,"Landscape Design, Lawn Care, Irrigation Systems, Hardscaping, Tree Services, Seasonal Cleanup",https://greenscape-example.com,Nashville,TN,37201
"Ironworks Auto Repair",automotive,"Trusted neighborhood auto repair shop with ASE-certified mechanics. Honest diagnostics, fair prices, and quality workmanship on all makes and models since 2003.","1800 Motor Ave",555-901-2345,service@ironworksauto.com,"Oil Changes, Brake Repair, Engine Diagnostics, Transmission, AC Repair, Tire Services, State Inspections",,Phoenix,AZ,85004
"Cherish Photography",photography,"Award-winning photography studio specializing in capturing life's most important moments. Natural light style with a cinematic editorial approach.","77 Shutter Lane Studio B",555-012-3456,hello@cherishphoto.com,"Wedding Photography, Portrait Sessions, Family Photos, Headshots, Commercial Photography, Photo Retouching",https://cherishphoto-example.com,Seattle,WA,98101
"Golden Key Real Estate",real_estate,"Boutique real estate agency helping buyers and sellers navigate the market with data-driven strategies and white-glove service for over 15 years.","3300 Realty Row Suite 400",555-123-4567,agents@goldenkey.com,"Residential Sales, Luxury Properties, Commercial Leasing, Property Valuation, Investment Consulting, Relocation Services",https://goldenkey-example.com,Scottsdale,AZ,85251
